StationNo,StationName,RiverName,Authority,Longitude,Latitude
2710,Aricha,Brahmaputra-Jamuna,BIWTA,89.78167,23.82722
2720,Bagabari,Koratoya-Atrai-Gur,BIWTA,89.58604,24.12905
2410,Bardia,Nabaganga,BIWTA,89.68361,23.13196
1810,Barisal,Barisal,BIWTA,90.37603,22.68086
310,Betbunia,Betbunia,BIWTA,89.72683,22.56104
4030,Bhasan char,Naya Bhagni,BIWTA,90.43278,22.78638
2730,Bhuapur,Jamuna(Brahmaputra),BIWTA,89.84050,24.48318
1640,Chandpur,Meghna-Dakatia,BIWTA,90.66656,23.21475
1010,Char Chenga,Shahbazpur,BIWTA,91.04606,22.08300
3810,Char Lalkharab,Azimpur,BIWTA,90.50597,22.86164
410,Charduani,Haringhata,BIWTA,89.93822,21.99612
1610,Chitalkhali,Meghna,BIWTA,90.86072,22.66393
1720,Chowdhuryhat,Arial Khan,BIWTA,90.08627,23.45945
1210,Cox's Bazar,Maheshkhali Chanel,BIWTA,91.95401,21.46384
810,Dasmonia,Tentulia,BIWTA,90.58613,22.24546
2820,Daulatdia,Ganges,BIWTA,89.78884,23.76179
820,Dhulia,Tentulia,BIWTA,90.58322,22.54275
2210,Dubaldia,Padma (Laudubi),BIWTA,90.33506,23.35824
710,Galachipa,Lohalia,BIWTA,90.41081,22.16931
210,Ghasiakhali,Ghasiakhali,BIWTA,89.77785,22.53493
3240,Ghorashal,Lakhya,BIWTA,90.61005,23.92329
1680,Hazimara,Dakatia,BIWTA,90.73111,22.95269
110,Hiron Point,Pussur,MPA,89.47733,21.78874
,Janipur,Gorai-Madhumoti,BIWTA,89.28264,23.79582
130,Joimonirghol,Pussur,MPA,89.62447,22.32972
1730,Kalikapur,Arial Khan,BIWTA,90.21322,23.17965
,Kamarkhali,Gorai-Madhumoti,BIWTA,89.54067,23.52983
2010,Kawkhali,Kocha,BIWTA,90.08372,22.64484
1320,Khal No. 10,Karnaphuli,CPA,91.81808,22.27193
3220,Khanpur,Bangali,BIWTA,89.48001,24.62728
610,Khepupara,Nilganj,BIWTA,90.21663,21.98153
3910,Kuakata,Andharmanik,BIWTA,90.15148,21.89783
1920,Kunder Bazar,Taltala Khal,BIWTA,90.43949,23.54745
140,Mongla,Pussur,MPA,89.53431,22.60779
4020,Muladi,Naya Bhagni,BIWTA,90.42070,22.91242
1630,Nalmuri,Meghna,BIWTA,90.48231,23.10392
1710,Nandir Bazar,Arial Khan,BIWTA,90.37323,22.92599
3220,Narayanganj,Lakhya,BIWTA,90.50985,23.59299
1650,Narsingdi,Meghna,BIWTA,90.71268,23.89663
4010,Pagla,Buri Ganga,BIWTA,90.42261,23.69351
1310,Patenga (Khal,Karnaphuli,CPA,91.80328,22.22205
2310,Patgati,Modukhali,BIWTA,89.91813,22.87428
910,Patuakhali,Lawkati,BIWTA,90.35950,22.35971
1620,Ramdaspur,Meghna,BIWTA,90.64990,22.79812
1330,Sadarghat(CTG),Karnaphuli,BIWTA,91.83337,22.32152
1410,Sandwip,Sata Khal,BIWTA,91.43312,22.48149
1660,Satnal,Meghna,BIWTA,90.61657,23.49806
,Shambhupur,Betua,BIWTA,90.79479,22.37116
2510,Sindiaghat,Lower Kumar,BIWTA,89.99127,23.22164
2320,Singati,Modukhali,BIWTA,89.75658,23.01680
2610,Sreenadi,Lower Kumar,BIWTA,90.05594,23.25310
120,Sundarikota,Pussur,MPA,89.59157,22.11676
1120,Teknaf,Naf,BIWTA,92.30446,20.88696
